ID,Name,Genre,Year,Death,MovieLength,KillRate/Hour
1,Battle Royale,2000 _ Thriller/Action _ 2h 2m,2000,54,2.03,27
2,The Boondock Saints,1999 _ Thriller/Indie film _ 1h 50m,1999,34,1.83,19
3,City on Fire,1987 _ Thriller/Drama _ 1h 45m,1987,10,1.75,6
4,True Romance,1993 _ Drama film/Thriller _ 2h 1m,1993,20,2.02,10
5,Audition,1999 _ Thriller/Drama _ 1h 55m,1999,2,1.92,1
6,Killing Zoe,1993 _ Thriller/Drama _ 1h 38m,1993,20,1.63,12
7,Rubber,2010 _ Fantasy/Drama film _ 1h 25m,2010,27,1.42,19
8,Natrual Born Killers,1994 _ Drama film/Thriller _ 2h 2m,1994,146,2.03,72
9,Django,2012 _ Drama film/Blaxploitation _ 2h 45m,2012,180,2.75,65
10,Lucky Number Slevin,2006 _ Thriller/Drama _ 1h 50m,2006,19,1.83,10
11,The Way of The Gun,2000 _ Thriller/Cult film _ 1h 59m,2000,20,1.98,10
